neighborhood,x2010_density,x2010_diversity_index,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_density,x2020_diversity_index,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,x2010_vap,x2010_vap_hisp,x2010_vap_white_non_hisp,x2010_vap_black_non_hisp,x2010_vap_aian_non_hisp,x2010_vap_asian_non_hisp,x2010_vap_nhpi_non_hisp,x2010_vap_other_non_hisp,x2010_vap_two_plus_non_hisp,x2010_u18,x2010_u18_hisp,x2010_u18_white_non_hisp,x2010_u18_black_non_hisp,x2010_u18_aian_non_hisp,x2010_u18_asian_non_hisp,x2010_u18_nhpi_non_hisp,x2010_u18_other_non_hisp,x2010_u18_two_plus_non_hisp,x2010_hu,x2010_hu_occupied,x2010_hu_vacant,x2010_vacancy_rate,x2020_vap,x2020_vap_hisp,x2020_vap_white_non_hisp,x2020_vap_black_non_hisp,x2020_vap_aian_non_hisp,x2020_vap_asian_non_hisp,x2020_vap_nhpi_non_hisp,x2020_vap_other_non_hisp,x2020_vap_two_plus_non_hisp,x2020_u18,x2020_u18_hisp,x2020_u18_white_non_hisp,x2020_u18_black_non_hisp,x2020_u18_aian_non_hisp,x2020_u18_asian_non_hisp,x2020_u18_nhpi_non_hisp,x2020_u18_other_non_hisp,x2020_u18_two_plus_non_hisp,x2020_hu,x2020_hu_occupied,x2020_hu_vacant,x2020_vacancy_rate,change_density,change_diversity_index,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,change_vap,change_vap_hisp,change_vap_white_non_hisp,change_vap_black_non_hisp,change_vap_aian_non_hisp,change_vap_asian_non_hisp,change_vap_nhpi_non_hisp,change_vap_other_non_hisp,change_vap_two_plus_non_hisp,change_u18,change_u18_hisp,change_u18_white_non_hisp,change_u18_black_non_hisp,change_u18_aian_non_hisp,change_u18_asian_non_hisp,change_u18_nhpi_non_hisp,change_u18_other_non_hisp,change_u18_two_plus_non_hisp,change_hu,change_hu_occupied,change_hu_vacant,change_vacancy_rate,change_share_total_density,change_share_total_diversity_index,change_share_total_pop_hisp,change_share_total_pop_white_non_hisp,change_share_total_pop_black_non_hisp,change_share_total_pop_aian_non_hisp,change_share_total_pop_asian_non_hisp,change_share_total_pop_nhpi_non_hisp,change_share_total_pop_other_non_hisp,change_share_total_pop_two_plus_non_hisp,change_share_total_vap_hisp,change_share_total_vap_white_non_hisp,change_share_total_vap_black_non_hisp,change_share_total_vap_aian_non_hisp,change_share_total_vap_asian_non_hisp,change_share_total_vap_nhpi_non_hisp,change_share_total_vap_other_non_hisp,change_share_total_vap_two_plus_non_hisp,change_share_total_u18,change_share_total_u18_hisp,change_share_total_u18_white_non_hisp,change_share_total_u18_black_non_hisp,change_share_total_u18_aian_non_hisp,change_share_total_u18_asian_non_hisp,change_share_total_u18_nhpi_non_hisp,change_share_total_u18_other_non_hisp,change_share_total_u18_two_plus_non_hisp,change_share_total_hu,change_share_total_hu_occupied,change_share_total_hu_vacant,change_share_total_vacancy_rate,x2020_pop_hisp_perc,x2020_pop_white_non_hisp_perc,x2020_pop_black_non_hisp_perc,x2010_pop_hisp_perc,x2010_pop_white_non_hisp_perc,X2010_pop_black_non_hisp_perc,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed
Garwyn Oaks,3133,3,1318,22,18,1254,2,1,0,2,18,3138,6,1320,39,45,1182,3,3,0,17,31,1026,17,17,976,2,1,0,1,13,292,5,1,278,1,0,0,1,5,767,526,241,10,1055,27,42,943,3,3,0,12,24,265,12,2,239,0,0,0,5,7,659,526,133,6,0.16,100,0.15,77.27,150,-5.74,50,200,NA,750,72.22,2.83,58.82,147.06,-3.38,50,200,NA,1100,84.62,-9.25,140,100,-14.03,-100,NA,NA,400,40,-14.08,0,-44.81,-40,0.38,0.23,1.29,2.05,-5.46,0.08,0.15,0,1.14,0.99,0.97,2.44,-3.22,0.1,0.19,0,1.07,1.07,-9.25,2.4,0.34,-13.36,-0.34,0,0,1.37,0.68,-8.19,0,-8.19,-0.3,2.95,3.41,89.55,1.67,1.37,95.14,Majority Black,Majority Black,No
Gay Street,10872,6,1385,9,15,1339,1,9,0,1,12,12774,28,1622,34,107,1331,4,100,0,4,43,951,5,14,915,1,6,0,0,8,435,4,1,424,0,2,0,1,3,704,571,134,16,1227,26,99,968,3,96,0,2,32,395,7,8,364,1,4,0,2,10,806,712,94,10,17.49,366.67,17.11,277.78,613.33,-0.6,300,1011.11,NA,300,258.33,29.02,420,607.14,5.79,200,1500,NA,Inf,300,-9.2,75,700,-14.15,Inf,100,NA,100,233.33,14.49,24.69,-29.85,-37.5,137.33,1.59,1.81,6.64,-0.58,0.22,6.57,0,0.22,2.24,2.21,8.94,5.57,0.21,9.46,0,0.21,2.52,-9.2,0.69,1.61,-13.79,0.23,0.46,0,0.23,1.61,7.36,10.18,-2.89,-0.43,2.1,6.6,82.06,0.65,1.08,96.68,Majority Black,Majority Black,No
Glen,18942,89,7085,160,3066,3669,11,57,5,25,92,19435,101,7172,446,2954,3348,9,97,1,115,203,5435,111,2250,2934,9,47,4,16,64,1650,49,816,735,2,10,1,9,28,3321,3090,231,13,5513,291,2025,2871,9,88,1,76,152,1659,155,929,477,0,9,0,38,51,3358,3096,262,14,2.6,13.48,1.23,178.75,-3.65,-8.75,-18.18,70.18,-80,360,120.65,1.44,162.16,-10,-2.15,0,87.23,-75,375,137.5,0.55,216.33,13.85,-35.1,-100,-10,-100,322.22,82.14,1.11,0.19,13.42,7.69,6.96,0.17,4.04,-1.58,-4.53,-0.03,0.56,-0.06,1.27,1.57,3.31,-4.14,-1.16,0,0.75,-0.06,1.1,1.62,0.55,6.42,6.85,-15.64,-0.12,-0.06,-0.06,1.76,1.39,0.52,0.08,0.44,0.01,6.22,41.19,46.68,2.26,43.27,51.79,Majority Minority,Majority Black,Yes
Glen Oaks,8713,16,3234,59,249,2835,5,28,2,2,53,8156,18,3024,99,189,2607,5,22,1,13,87,2471,42,232,2130,4,24,1,1,35,763,17,17,705,1,4,1,1,18,1423,1316,106,5,2388,68,171,2048,5,21,1,10,64,636,31,18,559,0,2,0,3,23,1401,1297,104,5,-6.39,12.5,-6.49,67.8,-24.1,-8.04,0,-21.43,-50,550,64.15,-3.36,61.9,-26.29,-3.85,25,-12.5,0,900,82.86,-16.64,82.35,5.88,-20.71,-100,-50,-100,200,27.78,-1.55,-1.44,-1.89,0,-17.22,0.06,1.24,-1.86,-7.05,0,-0.19,-0.03,0.34,1.05,1.05,-2.47,-3.32,0.04,-0.12,0,0.36,1.17,-16.64,1.83,0.13,-19.13,-0.13,-0.26,-0.13,0.26,0.66,-0.68,-0.59,-0.06,0,3.27,6.25,86.21,1.82,7.7,87.66,Majority Black,Majority Black,No
Glenham-Belhar,11985,77,6164,118,2140,3660,22,69,1,20,135,11161,75,5721,175,1517,3700,22,66,5,31,205,4695,83,1893,2574,15,62,1,10,58,1468,36,246,1086,7,7,0,10,77,2626,2383,243,14,4511,133,1338,2809,11,60,5,15,140,1210,42,180,892,10,6,0,16,65,2451,2219,232,14,-6.88,-2.6,-7.19,48.31,-29.11,1.09,0,-4.35,400,55,51.85,-3.92,60.24,-29.32,9.13,-26.67,-3.23,400,50,141.38,-17.57,16.67,-26.83,-17.86,42.86,-14.29,NA,60,-15.58,-6.66,-6.88,-4.53,0,-13.37,-0.03,0.92,-10.11,0.65,0,-0.05,0.06,0.18,1.14,1.06,-11.82,5.01,-0.09,-0.04,0.09,0.11,1.75,-17.57,0.41,-4.5,-13.22,0.2,-0.07,0,0.41,-0.82,-2.84,-2.66,-0.18,0,3.06,26.52,64.67,1.91,34.72,59.38,Majority Black,Majority Black,No
Graceland Park,1364,15,783,176,409,154,4,21,0,3,17,1596,16,922,424,262,182,3,20,0,6,25,600,120,353,96,3,17,0,2,9,183,55,56,58,1,4,0,1,8,339,304,35,2,663,268,234,123,2,17,0,3,16,260,156,29,59,1,3,0,3,9,358,326,32,2,17.01,6.67,17.75,140.91,-35.94,18.18,-25,-4.76,NA,100,47.06,10.5,123.33,-33.71,28.12,-33.33,0,NA,50,77.78,42.08,183.64,-48.21,1.72,0,-25,NA,200,12.5,5.6,7.24,-8.57,0,29.63,0.13,31.67,-18.77,3.58,-0.13,-0.13,0,0.38,1.02,24.67,-19.83,4.5,-0.17,0,0,0.17,1.17,42.08,55.19,-14.75,0.55,0,-0.55,0,1.09,0.55,2.43,2.81,-0.38,0,45.99,28.42,19.74,22.48,52.23,19.67,Majority Minority,Majority White,Yes
Greektown,3276,28,1303,424,717,106,8,25,0,2,21,4731,30,1811,774,741,157,5,71,0,8,54,1037,298,626,71,6,20,0,1,14,266,126,90,35,2,4,0,1,7,559,482,77,7,1386,497,655,127,3,63,0,3,37,425,277,86,30,2,8,0,5,17,770,690,80,5,44.41,7.14,38.99,82.55,3.35,48.11,-37.5,184,NA,300,157.14,33.65,66.78,4.63,78.87,-50,215,NA,200,164.29,59.77,119.84,-4.44,-14.29,0,100,NA,400,142.86,37.75,43.15,3.9,-28.57,111.67,0.15,26.86,1.84,3.91,-0.23,3.53,0,0.46,2.53,19.19,2.8,5.4,-0.29,4.15,0,0.19,2.22,59.77,56.77,-1.5,-1.88,0,1.5,0,1.5,3.76,16.19,15.96,0.23,-0.15,42.74,40.92,8.67,32.54,55.03,8.14,Majority Minority,Majority White,Yes
Greenmount Cemetery,3715,3,985,11,12,943,1,3,0,2,13,3644,4,966,19,12,914,4,0,0,6,11,719,8,9,691,1,1,0,1,8,266,3,4,253,0,2,0,0,4,576,393,183,13,710,10,11,671,4,0,0,3,10,256,9,2,242,0,0,0,3,0,497,399,98,8,-1.91,33.33,-1.93,72.73,0,-3.08,300,-100,NA,200,-15.38,-1.25,25,22.22,-2.89,300,-100,NA,200,25,-3.76,200,-50,-4.35,NA,-100,NA,Inf,-100,-13.72,1.53,-46.45,-38.46,-7.21,0.1,0.81,0,-2.94,0.3,-0.3,0,0.41,-0.2,0.28,0.28,-2.78,0.42,-0.14,0,0.28,0.28,-3.76,2.26,-0.75,-4.14,0,-0.75,0,1.13,-1.5,-8.02,0.61,-8.63,-0.51,1.97,1.24,94.62,1.12,1.22,95.74,Majority Black,Majority Black,No
Greenmount West,4306,23,858,14,217,586,2,21,0,0,18,5689,31,1129,76,355,587,2,44,0,5,60,726,14,214,463,1,18,0,0,15,132,1,3,123,1,3,0,0,3,576,385,191,17,980,62,342,483,2,37,0,3,50,149,13,12,104,0,7,0,2,10,705,602,103,7,32.12,34.78,31.59,442.86,63.59,0.17,0,109.52,NA,Inf,233.33,34.99,342.86,59.81,4.32,100,105.56,NA,Inf,233.33,12.88,1200,300,-15.45,-100,133.33,NA,Inf,233.33,22.4,56.36,-46.07,-58.82,161.19,0.93,7.23,16.08,0.12,0,2.68,0,0.58,4.9,6.61,17.63,2.75,0.14,2.62,0,0.41,4.82,12.88,9.09,6.82,-14.39,-0.76,3.03,0,1.52,5.3,15.03,25.29,-10.26,-1.17,6.73,31.44,51.99,1.63,25.29,68.3,Majority Black,Majority Black,No
Greenspring,6717,4,2269,20,25,2191,5,3,1,1,24,5294,9,1788,45,64,1610,5,2,1,8,52,1674,15,22,1610,5,2,1,1,18,596,5,3,580,1,1,0,0,6,1046,802,244,12,1406,31,59,1268,5,1,1,5,38,382,14,5,343,0,2,0,3,14,927,712,214,12,-21.19,125,-21.2,125,156,-26.52,0,-33.33,0,700,116.67,-16.01,106.67,168.18,-21.24,0,-50,0,400,111.11,-35.91,180,66.67,-40.86,-100,100,NA,Inf,133.33,-11.38,-11.22,-12.3,0,-62.71,0.22,1.1,1.72,-25.61,0,-0.04,0,0.31,1.23,0.96,2.21,-20.43,0,-0.06,0,0.24,1.19,-35.91,1.51,0.34,-39.77,-0.17,0.17,0,0.5,1.34,-5.24,-3.97,-1.32,0,2.52,3.58,90.04,0.88,1.1,96.56,Majority Black,Majority Black,No
Grove Park,1136,3,1535,24,22,1459,6,3,0,2,19,1019,5,1377,51,29,1242,3,5,1,7,37,1232,16,19,1173,5,3,0,2,13,303,8,3,286,1,0,0,0,5,671,604,68,3,1133,32,25,1033,2,5,1,6,29,243,20,4,209,1,0,0,1,8,653,577,75,3,-10.3,66.67,-10.29,112.5,31.82,-14.87,-50,66.67,Inf,250,94.74,-8.04,100,31.58,-11.94,-60,66.67,Inf,200,123.08,-19.8,150,33.33,-26.92,0,NA,NA,Inf,60,-2.68,-4.47,10.29,0,-7.62,0.13,1.76,0.46,-14.14,-0.2,0.13,0.07,0.33,1.17,1.3,0.49,-11.36,-0.24,0.16,0.08,0.32,1.3,-19.8,3.96,0.33,-25.41,0,0,0,0.33,0.99,-1.17,-1.76,0.46,0,3.7,2.11,90.2,1.56,1.43,95.05,Majority Black,Majority Black,No
Guilford,13368,50,5782,226,4346,455,6,622,2,11,115,12889,79,5545,363,2936,451,0,1476,1,25,293,5268,204,3980,402,6,579,1,7,89,514,22,365,53,0,43,1,3,27,2219,2013,206,13,5087,343,2679,389,0,1415,1,25,235,458,20,257,61,0,61,0,0,58,2109,1938,170,11,-3.58,58,-4.1,60.62,-32.44,-0.88,-100,137.3,-50,127.27,154.78,-3.44,68.14,-32.69,-3.23,-100,144.39,0,257.14,164.04,-10.89,-9.09,-29.59,15.09,NA,41.86,-100,-100,114.81,-4.96,-3.73,-17.48,-15.38,-8.28,0.5,2.37,-24.39,-0.07,-0.1,14.77,-0.02,0.24,3.08,2.64,-24.7,-0.25,-0.11,15.87,0,0.34,2.77,-10.89,-0.39,-21.01,1.56,0,3.5,-0.19,-0.58,6.03,-1.9,-1.3,-0.62,-0.03,6.55,52.95,8.13,3.91,75.16,7.87,Majority White,Majority White,No
Gwynns Falls,952,11,668,17,202,431,1,6,0,1,10,826,13,583,49,133,355,2,12,0,4,28,500,11,164,313,1,4,0,1,5,168,6,38,118,0,1,0,0,5,293,249,44,4,444,35,113,266,2,9,0,1,19,138,14,21,89,1,2,0,2,10,270,218,52,5,-13.24,18.18,-12.72,188.24,-34.16,-17.63,100,100,NA,300,180,-11.2,218.18,-31.1,-15.02,100,125,NA,0,280,-17.86,133.33,-44.74,-24.58,Inf,100,NA,Inf,100,-7.85,-12.45,18.18,25,-18.86,0.3,4.79,-10.33,-11.38,0.15,0.9,0,0.45,2.69,4.8,-10.2,-9.4,0.2,1,0,0,2.8,-17.86,4.76,-10.12,-17.26,0.6,0.6,0,1.19,2.98,-3.44,-4.64,1.2,0.15,8.4,22.81,60.89,2.54,30.24,64.52,Majority Black,Majority Black,No
Gwynns Falls/Leakin Park,11641,12,4874,48,69,4680,18,6,3,5,46,10156,22,4244,85,99,3929,6,15,0,12,99,3704,30,58,3561,15,4,3,3,31,1170,18,11,1119,3,2,0,2,15,2075,1763,311,23,3268,55,88,3044,4,12,0,7,58,976,30,11,884,2,2,0,5,41,1975,1611,364,29,-12.76,83.33,-12.93,77.08,43.48,-16.05,-66.67,150,-100,140,115.22,-11.77,83.33,51.72,-14.52,-73.33,200,-100,133.33,87.1,-16.58,66.67,0,-21,-33.33,0,NA,150,173.33,-4.82,-8.62,17.04,26.09,-30.47,0.21,0.76,0.62,-15.41,-0.25,0.18,-0.06,0.14,1.09,0.67,0.81,-13.96,-0.3,0.22,-0.08,0.11,0.73,-16.58,1.03,0,-20.09,-0.09,0,0,0.26,2.22,-2.05,-3.12,1.09,0.12,2,2.33,92.58,0.98,1.42,96.02,Majority Black,Majority Black,No
Hamilton Hills,31977,122,9996,283,2885,6490,21,98,1,16,203,32172,130,9879,378,2263,6680,31,79,2,62,385,7586,201,2503,4670,18,87,1,10,95,2411,81,382,1820,3,11,0,5,108,4526,4140,386,27,7761,260,2001,5115,22,72,1,35,255,2118,118,263,1565,8,7,1,27,129,4533,4225,308,21,0.61,6.56,-1.17,33.57,-21.56,2.93,47.62,-19.39,100,287.5,89.66,2.31,29.35,-20.06,9.53,22.22,-17.24,0,250,168.42,-12.15,45.68,-31.15,-14.01,166.67,-36.36,Inf,440,19.44,0.15,2.05,-20.21,-22.22,1.95,0.08,0.95,-6.22,1.9,0.1,-0.19,0.01,0.46,1.82,0.78,-6.62,5.87,0.05,-0.2,0,0.33,2.11,-12.15,1.53,-4.94,-10.58,0.21,-0.17,0.04,0.91,0.87,0.07,0.85,-0.78,-0.06,3.83,22.91,67.62,2.83,28.86,64.93,Majority Black,Majority Black,No
Hampden,17502,51,5945,184,5034,368,17,219,1,3,120,17914,68,6077,255,4776,389,11,329,0,28,289,5197,144,4455,296,16,197,1,3,86,748,40,579,72,0,23,0,0,34,3237,2882,355,20,5415,212,4314,335,11,301,0,26,216,662,43,462,54,0,28,0,1,73,3453,3153,300,16,2.35,33.33,2.22,38.59,-5.13,5.71,-35.29,50.23,-100,833.33,140.83,4.19,47.22,-3.16,13.18,-31.25,52.79,-100,766.67,151.16,-11.5,7.5,-20.21,-25,NA,21.74,NA,Inf,114.71,6.67,9.4,-15.49,-20,6.93,0.29,1.19,-4.34,0.35,-0.1,1.85,-0.02,0.42,2.84,1.31,-2.71,0.75,-0.1,2,-0.02,0.44,2.5,-11.5,0.4,-15.64,-2.41,0,0.67,0,0.13,5.21,3.63,4.56,-0.93,-0.07,4.2,78.59,6.4,3.1,84.68,6.19,Majority White,Majority White,No
Hanlon-Longwood,6516,8,2293,28,22,2203,2,2,0,3,32,6435,15,2266,57,37,2099,2,9,0,15,46,1775,26,20,1697,1,2,0,3,27,518,3,2,507,1,0,0,0,5,1167,884,283,25,1779,35,35,1652,2,8,0,7,40,488,21,2,447,0,2,0,8,6,1053,874,179,18,-1.24,87.5,-1.18,103.57,68.18,-4.72,0,350,NA,400,43.75,0.23,34.62,75,-2.65,100,300,NA,133.33,48.15,-5.79,600,0,-11.83,-100,Inf,NA,Inf,20,-9.77,-1.13,-36.75,-28,-3.53,0.31,1.26,0.65,-4.54,0,0.31,0,0.52,0.61,0.51,0.85,-2.54,0.06,0.34,0,0.23,0.73,-5.79,3.47,0,-11.58,-0.19,0.39,0,1.54,0.19,-4.97,-0.44,-4.54,-0.31,2.52,1.63,92.63,1.22,0.96,96.08,Majority Black,Majority Black,No
Harlem Park,36344,19,5011,55,70,4801,9,15,0,4,57,26572,40,3711,89,102,3371,3,22,1,24,98,3804,41,62,3638,7,13,0,3,40,1207,14,8,1163,2,1,0,1,17,2970,1951,1018,79,2923,64,87,2663,2,19,1,17,70,788,25,15,708,1,4,0,7,29,2156,1618,537,56,-26.89,110.53,-25.94,61.82,45.71,-29.79,-66.67,46.67,Inf,500,71.93,-23.16,56.1,40.32,-26.8,-71.43,46.15,Inf,466.67,75,-34.71,78.57,87.5,-39.12,-50,300,NA,600,70.59,-27.41,-17.07,-47.25,-29.11,-195.01,0.42,0.68,0.64,-28.54,-0.12,0.14,0.02,0.4,0.82,0.6,0.66,-25.63,-0.13,0.16,0.03,0.37,0.79,-34.71,0.91,0.58,-37.7,-0.08,0.25,0,0.5,0.99,-16.24,-6.65,-9.6,-0.46,2.4,2.75,90.84,1.1,1.4,95.81,Majority Black,Majority Black,No
Harwood,10253,25,1599,52,524,932,6,47,2,4,32,10851,29,1692,152,603,773,3,61,1,8,92,1356,42,488,747,6,45,2,4,22,244,9,36,185,0,2,0,0,11,894,721,173,9,1462,123,555,650,3,54,0,6,72,230,29,48,122,0,7,1,2,21,857,756,101,5,5.83,16,5.82,192.31,15.08,-17.06,-50,29.79,-50,100,187.5,7.82,192.86,13.73,-12.99,-50,20,-100,50,227.27,-5.74,222.22,33.33,-34.05,NA,250,Inf,Inf,90.91,-4.14,4.85,-41.62,-44.44,37.4,0.25,6.25,4.94,-9.94,-0.19,0.88,-0.06,0.25,3.75,5.97,4.94,-7.15,-0.22,0.66,-0.15,0.15,3.69,-5.74,8.2,4.92,-25.82,0,2.05,0.41,0.82,4.1,-2.31,2.19,-4.5,-0.25,8.98,35.64,45.69,3.25,32.77,58.29,Majority Minority,Majority Black,Yes
Hawkins Point,661,24,2191,139,1136,754,14,45,0,3,99,622,27,2060,299,792,783,4,26,2,15,139,1616,90,925,508,12,37,0,0,43,575,50,211,245,2,8,0,3,56,1023,843,179,7,1540,184,662,580,4,23,0,8,80,520,115,130,204,1,3,2,6,60,963,793,171,7,-5.9,12.5,-5.98,115.11,-30.28,3.85,-71.43,-42.22,Inf,400,40.4,-4.7,104.44,-28.43,14.17,-66.67,-37.84,NA,Inf,86.05,-9.57,130,-38.39,-16.73,-50,-62.5,Inf,100,7.14,-5.87,-5.93,-4.47,0,-1.78,0.14,7.3,-15.7,1.32,-0.46,-0.87,0.09,0.55,1.83,5.82,-16.27,4.46,-0.5,-0.87,0,0.5,2.29,-9.57,11.3,-14.09,-7.13,-0.17,-0.87,0.35,0.52,0.7,-2.74,-2.28,-0.37,0,14.51,38.45,38.01,6.34,51.85,34.41,Majority Minority,Majority White,Yes
Heritage Crossing,9921,7,1395,19,31,1311,5,10,0,0,18,8592,11,1222,31,37,1096,4,5,1,9,38,1026,13,30,957,2,10,0,0,13,369,5,1,355,3,1,0,0,5,826,635,190,14,926,20,31,837,1,4,1,3,28,296,11,6,259,3,1,0,7,10,674,582,91,8,-13.4,57.14,-12.4,63.16,19.35,-16.4,-20,-50,Inf,Inf,111.11,-9.75,53.85,3.33,-12.54,-50,-60,Inf,Inf,115.38,-19.78,120,500,-27.04,0,0,NA,Inf,100,-18.4,-8.35,-52.11,-42.86,-95.27,0.29,0.86,0.43,-15.41,-0.07,-0.36,0.07,0.65,1.43,0.68,0.1,-11.7,-0.1,-0.58,0.1,0.29,1.46,-19.78,1.63,1.36,-26.02,0,0,0,1.9,1.36,-10.9,-3.8,-7.1,-0.43,2.54,3.03,89.69,1.36,2.22,93.98,Majority Black,Majority Black,No
Herring Run Park,1997,23,1074,22,353,657,3,12,0,1,25,1811,24,958,34,301,563,1,14,0,3,43,796,15,302,454,2,10,0,0,13,278,7,52,202,2,2,0,1,13,429,384,46,5,746,23,257,426,1,12,0,2,26,212,11,44,137,0,2,0,1,18,410,362,48,5,-9.31,4.35,-10.8,54.55,-14.73,-14.31,-66.67,16.67,NA,200,72,-6.28,53.33,-14.9,-6.17,-50,20,NA,Inf,100,-23.74,57.14,-15.38,-32.18,-100,0,NA,0,38.46,-4.43,-5.73,4.35,0,-17.32,0.09,1.12,-4.84,-8.75,-0.19,0.19,0,0.19,1.68,1.01,-5.65,-3.52,-0.13,0.25,0,0.25,1.63,-23.74,1.44,-2.88,-23.38,-0.72,0,0,0,1.8,-1.77,-2.05,0.19,0,3.55,31.42,58.77,2.05,32.87,61.17,Majority Black,Majority Black,No
Highlandtown,24331,64,3019,842,1462,564,30,57,2,3,59,26258,59,3299,1299,1403,386,13,85,0,13,99,2437,617,1346,362,22,54,2,1,32,582,225,116,202,7,4,0,1,26,1429,1174,255,20,2615,845,1283,316,11,77,0,11,72,684,454,120,71,2,8,0,2,27,1536,1338,198,15,7.92,-7.81,9.27,54.28,-4.04,-31.56,-56.67,49.12,-100,333.33,67.8,7.3,36.95,-4.68,-12.71,-50,42.59,-100,1000,125,17.53,101.78,3.45,-64.85,-71.43,100,NA,100,3.85,7.49,13.97,-22.35,-25,63.83,-0.17,15.14,-1.95,-5.9,-0.56,0.93,-0.07,0.33,1.32,9.36,-2.59,-1.89,-0.45,0.94,-0.08,0.41,1.64,17.53,39.35,0.69,-22.51,-0.86,0.69,0,0.17,0.17,3.54,5.43,-1.89,-0.17,39.38,42.53,11.7,27.89,48.43,18.68,Majority Minority,Majority Minority,No
Hillen,3447,9,1523,37,133,1308,2,13,1,3,26,3106,20,1369,44,253,821,1,190,0,7,53,1314,29,122,1129,2,12,1,1,19,209,8,11,179,1,1,0,2,8,484,446,38,3,1208,37,235,696,1,190,0,5,44,161,7,18,124,0,0,0,3,9,483,430,54,4,-9.89,122.22,-10.11,18.92,90.23,-37.23,-50,1361.54,-100,133.33,103.85,-8.07,27.59,92.62,-38.35,-50,1483.33,-100,400,131.58,-22.97,-12.5,63.64,-30.73,-100,-100,NA,50,12.5,-0.21,-3.59,42.11,33.33,-22.39,0.72,0.46,7.88,-31.98,-0.07,11.62,-0.07,0.26,1.77,0.61,8.6,-32.95,-0.08,13.55,-0.08,0.3,1.9,-22.97,-0.48,3.35,-26.32,-0.48,-0.48,0,0.48,0.48,-0.07,-1.05,1.05,0.07,3.21,18.48,59.97,2.43,8.73,85.88,Majority Black,Majority Black,No
Hoes Heights,2430,6,998,32,812,91,2,42,0,1,18,2415,8,992,35,737,94,1,82,0,5,38,901,25,737,84,2,38,0,1,13,97,7,74,7,0,4,0,0,5,560,506,53,2,894,31,663,87,1,74,0,4,32,98,4,73,7,0,7,0,1,5,586,530,56,2,-0.62,33.33,-0.6,9.38,-9.24,3.3,-50,95.24,NA,400,111.11,-0.78,24,-10.04,3.57,-50,94.74,NA,300,146.15,1.03,-42.86,-1.35,0,NA,75,NA,Inf,0,4.64,4.74,5.66,0,-1.5,0.2,0.3,-7.52,0.3,-0.1,4.01,0,0.4,2,0.67,-8.21,0.33,-0.11,4,0,0.33,2.11,1.03,-3.09,-1.03,0,0,3.09,0,1.03,0,2.61,2.4,0.3,0,3.53,74.29,9.48,3.21,81.36,9.12,Majority White,Majority White,No
Holabird Industrial Park,106,5,409,86,231,67,6,8,1,1,9,112,6,433,190,150,68,2,5,0,3,14,329,59,204,49,4,6,0,0,5,80,27,27,18,1,2,0,0,5,177,164,13,1,328,123,132,54,2,5,0,1,10,105,67,18,14,0,1,0,2,4,174,160,14,1,5.66,20,5.87,120.93,-35.06,1.49,-66.67,-37.5,-100,200,55.56,-0.3,108.47,-35.29,10.2,-50,-16.67,NA,Inf,100,31.25,148.15,-33.33,-22.22,-100,-50,NA,Inf,-20,-1.69,-2.44,7.69,0,1.47,0.24,25.43,-19.8,0.24,-0.98,-0.73,-0.24,0.49,1.22,19.45,-21.88,1.52,-0.61,-0.3,0,0.3,1.52,31.25,50,-11.25,-5,-1.25,-1.25,0,2.5,-1.25,-0.73,-0.98,0.24,0,43.88,34.64,15.7,21.03,56.48,16.38,Majority Minority,Majority White,Yes
Hollins Market,16291,50,1821,52,548,1130,6,43,1,6,36,15164,56,1695,137,419,981,3,71,0,18,67,1484,38,512,854,6,43,1,4,26,338,14,35,276,0,0,0,2,10,1134,844,290,24,1377,104,376,759,3,71,0,16,48,319,33,43,221,0,0,0,2,19,1027,777,250,23,-6.92,12,-6.92,163.46,-23.54,-13.19,-50,65.12,-100,200,86.11,-7.21,173.68,-26.56,-11.12,-50,65.12,-100,300,84.62,-5.62,135.71,22.86,-19.93,NA,NA,NA,0,90,-9.44,-7.94,-13.79,-4.17,-61.89,0.33,4.67,-7.08,-8.18,-0.16,1.54,-0.05,0.66,1.7,4.45,-9.16,-6.4,-0.2,1.89,-0.07,0.81,1.48,-5.62,5.62,2.37,-16.27,0,0,0,0,2.66,-5.88,-3.68,-2.2,-0.05,8.08,24.72,57.88,2.86,30.09,62.05,Majority Black,Majority Black,No
